Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Гаврилів;Варфоломій;Анатолійович;Чоловік;1949-12-10;Єгер;селище Кропивницький;провулок Заводська, буд. 2 кв. 0, Острог, 08239;978-72-79;orestbalaban@example.net
Чумак;Людмила;Андріївна;Жінка;1954-03-26;Локсмайстер;хутір Волочиськ;набережна Кришталевий, буд. 823, Ізмаїл, 17594;+380 85 540 06 98;oryna86@example.org
Гаврилюк;Амалія;Петрівна;Жінка;1972-03-27;Адвокат;місто Лисичанськ;шосе Гаванна, буд. 203 кв. 7, Вилкове, 01560;+380 49 212-78-96;bohdanna29@example.com
Ващенко-Захарченко;Борислав;Васильович;Чоловік;1996-04-24;Кінолог;село Чернівці;шосе Чубаївська, буд. 5, Тернівка , 23429;087 760 00 65;eduard86@example.com
Павленко;Макар;Дмитрович;Чоловік;1958-11-06;Астроном;село Докучаєвськ;шосе Аграрна, буд. 00 кв. 5, Узин, 92248;+380 44 811 98 02;kamilla68@example.net
Кащенко;Євген;Володимирович;Чоловік;1962-04-26;Державний службовець;хутір Полтава;сквер Академіка Ясиновського, буд. 6, Свалява, 26025;005 242-40-25;violettabazylevskyi@example.net
Жарко;Марина;Георгіївна;Жінка;1980-07-16;Геофізик;селище Скадовськ;набережна Армійська, буд. 28 кв. 416, Бориспіль, 94891;+380 46 719 08 50;iaroslavahupalo@example.net
Луценко;Богодар;Федорович;Чоловік;1978-01-25;Фотограф;хутір Євпаторія;площа Джерельна, буд. 45 кв. 5, Рава-Руська, 81442;+380 (27) 972-58-14;vasyl21@example.com
Гузенко;Степан;Георгійович;Чоловік;1982-07-31;Музичний редактор;місто Батурин;набережна Набережна, буд. 061 кв. 854, Скадовськ, 46423;+380 68 263 52 04;nataliia83@example.com
Атаманчук;Тереза;Іванівна;Жінка;1965-02-15;Історик;селище Брянка;парк Олександра Блока, буд. 78, Красноперекопськ, 32749;071 867 63 00;malykmykhailo@example.org
Гузенко;Володимира;Андріївна;Жінка;1942-12-09;Фрілансер;село Кобеляки;проспект Санаторний, буд. 093 кв. 59, Дебальцеве, 40728;+380 79 406-41-61;bdrozdenko@example.org
Тимченко;Борис;Аркадійович;Чоловік;1996-10-05;Стиліст;селище Добропілля;вулиця Танкерна, буд. 540 кв. 656, Торецьк, 57447;+380 24 530-37-20;semenvasylenko@example.org
Андрейко;Софія;Михайлівна;Жінка;1939-01-21;Флорист;селище Новоазовськ;шосе Верф’яний, буд. 4, Радомишль, 09173;844-86-07;mykhailo22@example.com
Дробʼязко;Яків;Іванович;Чоловік;1953-02-17;Сантехнік;хутір Долина ;узвіз 13-та Суворовська, буд. 2 кв. 58, Підгородне, 19166;059 095 51 51;izaiets@example.com
Ященко;Стефан;Федорович;Чоловік;1948-02-15;Епідеміолог;селище Черкаси;шосе Сергія Уточкіна, буд. 598 кв. 49, Мала Виска, 45425;+380 (53) 177-36-11;vladyslavbatih@example.net
Гриценко;Анастасія;Аркадіївна;Жінка;1979-02-18;Електромонтер;село Хотин;сквер Дюківська, буд. 5 кв. 986, Красноград, 21697;756 66 19;iaremababiuk@example.net
Лисенко;Костянтин;Вікторович;Чоловік;1940-05-09;Дантист;селище Богодухів;шосе Грузовий, буд. 75 кв. 258, Кам'янець-Подільський, 12247;+380 92 849 98 29;ihorhres@example.org
Кириленко;Богданна;Михайлівна;Жінка;2006-02-02;Скульптор;селище Кипуче;проспект Ліверпульський, буд. 2, Селидове, 06545;059 829-06-07;psalii@example.net
Шелест;Борислав;Юрійович;Чоловік;1938-11-16;Скульптор;хутір Вільногірськ;проспект Орловський, буд. 154, Червоноград, 60895;043 642 46 48;vprokopovych@example.com
Чубай;Леон;Андрійович;Чоловік;1981-05-25;Адвокат;селище Миколаївка ;вулиця Орловський, буд. 12, Макіївка, 51367;+380 56 986-42-91;iurchukbohuslav@example.org
Петренко;Василь;Дмитрович;Чоловік;1942-05-14;Зоолог;селище Донецьк;шосе Березовий, буд. 8, Камінь-Каширський, 92873;+380 78 531-63-08;tmamchur@example.net
Ємець;Одарка;Кузьмівна;Жінка;1945-10-26;Історик;село Міусинськ;шосе Бузковий 2-й, буд. 41 кв. 5, Сарни, 19737;069 321-09-74;kamillariabovil@example.net
Яремків;Геннадій;Борисович;Чоловік;1964-12-21;Географ;хутір Сніжне;шосе Деревообробний 1-й, буд. 905, Ізяслав, 72017;+380 (73) 170-83-84;lzhalilo@example.net
Вернигора;Богдан;Андрійович;Чоловік;1967-03-13;Дерун;місто Чортків;провулок Новобазарний, буд. 46, Кременчук, 51547;022 625 34 26;ielyseikhorishko@example.net
Червоненко;Демид;Анатолійович;Чоловік;1972-10-31;Дантист;село Першотравенськ;парк Чернігівський, буд. 2 кв. 82, Вуглегірськ, 52864;993-40-02;stepan32@example.com
Козаченко;Валерій;Дмитрович;Чоловік;1992-02-15;Дантист;хутір Шепетівка;узвіз Шишкіна 1-й, буд. 632 кв. 18, Скадовськ, 94845;+380 (85) 266-89-40;vertyporokhielysaveta@example.com
Товстуха;Петро;Анатолійович;Чоловік;1952-02-12;Психолог;село Могилів-Подільський;площа Чорноморський 12-й, буд. 434 кв. 698, Лутугине, 28783;056 161 56 76;idavydenko@example.org
Височан;Роксолана;Євгенівна;Жінка;1987-05-28;Штукатур;селище Енергодар;парк Волзький, буд. 319 кв. 8, Подільськ, 03161;+380 (41) 012-79-71;pshevchenko@example.org
Товстуха;Левко;Федорович;Чоловік;1942-10-04;Кіноактор;селище Шостка;площа Ланжерон, буд. 44 кв. 069, Рівне, 42154;+380 (52) 558-94-53;fkhrystenko@example.org
Аронець;Олег;Олександрович;Чоловік;1944-10-14;Намотувальник;місто Буча;провулок Амурський 1-й, буд. 34 кв. 664, Щолкіне, 94342;+380 40 871 93 23;agerega@example.com
Хмара;Леопольд;Ярославович;Чоловік;1953-03-29;Археолог;село Рава-Руська;набережна Флотський 2-й, буд. 6, Тараща, 40416;444-45-46;alekseienkomykhailyna@example.com
Михайлюк;Ярослав;Борисович;Чоловік;1954-01-24;Мірошник;село Бурштин ;сквер Леонова, буд. 307, Амвросіївка, 95426;991 70 55;zaietsvalentyn@example.com
Ковалюк;Дмитро;Васильович;Чоловік;1948-07-22;Локсмайстер;місто Новий Розділ;провулок Пейзажна, буд. 85 кв. 67, Глобине, 92541;016 007 76 08;baidavarfolomii@example.com
Шиян;Юстина;Федорівна;Жінка;1945-05-27;Стропальник;селище Хирів;вулиця Берегова, буд. 6, Дунаївці, 13147;433 27 90;mariiatereshchuk@example.com
Артимович;Гліб;Кузьмич;Чоловік;1982-03-04;Антрополог;селище Помічна;набережна Іванова 2-й, буд. 425 кв. 8, Волочиськ, 96675;119 25 51;hlibvoblyi@example.com
Лукаш;Марта;Тимофіївна;Жінка;1998-08-19;Публіцист;місто Молодогвардійськ;шосе Цегляна, буд. 10 кв. 4, Знам'янка, 03355;256-40-90;omasliak@example.net
Чаленко;Марта;Андріївна;Жінка;2004-08-16;Фотограф;хутір Ватутіне;парк Виноградний, буд. 871 кв. 58, Березівка, 95268;303 64 72;barannykboryslav@example.com
Юрчук;Віталій;Борисович;Чоловік;1959-09-21;Диригент;хутір Герца;провулок Ткачова, буд. 090, Географія Вільнянська, 83194;+380 15 001 43 71;ovsiienkomaksym@example.net
Туркало;Сергій;Федорович;Чоловік;2005-05-05;Мінералог;місто Арциз;площа Лінія 24-та, буд. 441 кв. 50, Чернігів, 60438;094 242 85 78;zorianbatiuk@example.net
Жук;Єва;Федорівна;Жінка;1965-05-21;Адвокат;хутір Брянка;набережна Круговий, буд. 36 кв. 7, Лубни, 80454;267 41 45;zaikaandrii@example.net
Коваленко;Гордій;Георгійович;Чоловік;1980-08-30;Швачка;хутір Мена ;провулок Планетна, буд. 0 кв. 51, Миколаїв, 67928;+380 20 616-55-25;mykolai12@example.com
